Unnamed: 0,TaxId,Species,FamilyId,FamilyName,OrderId,OrderName,TSA,BioProject_id,Publication(PMID/DOI),lotus_hits,osk_hits,oskar_hits
85,6687,Penaeus monodon,6685,Penaeidae,6683,Decapoda,GEEP,PRJNA267515,None,"GEEP01011387.1_4,GEEP01017032.1_1,GEEP01055364.1_3,GEEP01076115.1_5",None,None
86,39395,Cancer borealis,6753,Cancridae,6683,Decapoda,GEFB,PRJNA310325,None,"GEFB01000907.1_4,GEFB01006647.1_3,GEFB01003964.1_6","GEFB01034881.1_5,GEFB01025816.1_5,GEFB01038621.1_6,GEFB01030473.1_1,GEFB01002789.1_5",None
87,910319,Palaemon argentinus,6695,Palaemonidae,6683,Decapoda,GEFN,PRJNA309860,None,None,None,None
88,95602,Eriocheir sinensis,72876,Varunidae,6683,Decapoda,GEFT,PRJNA310144,None,"GEFT01002613.1_2,GEFT01002614.1_2",None,None
89,294128,Hyalella azteca,199477,Hyalellidae,6821,Amphipoda,GEHV,PRJNA312414,None,"GEHV01129593.1_5,GEHV01089916.1_6","GEHV01103567.1_5,GEHV01103564.1_5,GEHV01103565.1_5,GEHV01103568.1_5,GEHV01103566.1_5,GEHV01039370.1_2,GEHV01127434.1_6,GEHV01056324.1_6,GEHV01127437.1_6,GEHV01127435.1_6,GEHV01127436.1_6",None
90,1048741,Triops newberryi,63729,Triopsidae,58774,Notostraca,GEHY,PRJNA315010,None,"GEHY01009394.1_1,GEHY01003317.1_3,GEHY01011666.1_4",None,None
91,6763,Callinectes sapidus,6757,Portunidae,6683,Decapoda,GEID,PRJNA315576,None,"GEID01094994.1_5,GEID01095001.1_5,GEID01094997.1_5,GEID01094996.1_5,GEID01150420.1_5,GEID01150423.1_6,GEID01150421.1_6,GEID01150422.1_6,GEID01150424.1_6","GEID01097565.1_2,GEID01161745.1_1,GEID01172579.1_3",None
92,6687,Penaeus monodon,6685,Penaeidae,6683,Decapoda,GEME,PRJNA267515,None,"GEME01013315.1_1,GEME01017766.1_4,GEME01072789.1_3,GEME01087452.1_5",None,None
93,1842084,Oxyacanthus curtus,315608,Acanthogammaridae,6821,Amphipoda,GEPA,PRJNA321360,None,None,None,None
94,75813,Oxyacanthus flavus,315608,Acanthogammaridae,6821,Amphipoda,GEPB,PRJNA321360,None,None,"GEPB01055012.1_2,GEPB01055014.1_2",None
95,1097446,Oxyacanthus sowinskii,315608,Acanthogammaridae,6821,Amphipoda,GEPC,PRJNA321360,None,None,"GEPC01035052.1_4,GEPC01035050.1_6",None
96,686699,Brachyuropus grewingkii,315608,Acanthogammaridae,6821,Amphipoda,GEPD,PRJNA321360,None,GEPD01018819.1_5,"GEPD01036792.1_3,GEPD01036801.1_3,GEPD01036794.1_3,GEPD01036799.1_1,GEPD01036798.1_3",None
97,86500,Acanthogammarus godlewskii,315608,Acanthogammaridae,6821,Amphipoda,GEPE,PRJNA321360,None,None,GEPE01031691.1_3,None
98,686700,Cornugammarus maximus,315608,Acanthogammaridae,6821,Amphipoda,GEPF,PRJNA321360,None,GEPF01030113.1_1,GEPF01029314.1_5,None
99,52942,Boeckaxelia carpenterii,315608,Acanthogammaridae,6821,Amphipoda,GEPG,PRJNA321360,None,None,GEPG01052191.1_2,None
100,75816,Boeckaxelia potanini,315608,Acanthogammaridae,6821,Amphipoda,GEPH,PRJNA321360,None,None,"GEPH01031494.1_1,GEPH01031491.1_1",None
101,65453,Baikalogammarus pullus,315681,Baikalogammaridae,6821,Amphipoda,GEPI,PRJNA321360,None,None,None,None
102,65444,Brandtia latissima,315608,Acanthogammaridae,6821,Amphipoda,GEPJ,PRJNA321360,None,"GEPJ01030024.1_6,GEPJ01030023.1_6","GEPJ01036214.1_1,GEPJ01036216.1_1,GEPJ01036215.1_1,GEPJ01036213.1_1",None
103,1842064,Asprogammarus rhodophthalmus,315608,Acanthogammaridae,6821,Amphipoda,GEPK,PRJNA321360,None,GEPK01071165.1_3,"GEPK01058829.1_6,GEPK01058831.1_6",None
104,1842057,Carinurus bicarinatus,315608,Acanthogammaridae,6821,Amphipoda,GEPL,PRJNA321360,None,GEPL01037318.1_6,"GEPL01047174.1_4,GEPL01047181.1_4",None
105,1842058,Crypturopus inflatus,315599,Micruropodidae,6821,Amphipoda,GEPM,PRJNA321360,None,None,GEPM01028660.1_1,None
106,1842059,Echiuropus macronychus,315608,Acanthogammaridae,6821,Amphipoda,GEPN,PRJNA321360,None,None,"GEPN01024988.1_3,GEPN01024987.1_1",None
107,1842060,Eucarinogammarus wagii,315608,Acanthogammaridae,6821,Amphipoda,GEPO,PRJNA321360,None,None,None,None
108,1842065,Sluginella kietlinskii,315662,Eulimnogammaridae,6821,Amphipoda,GEPP,PRJNA321360,None,None,GEPP01027648.1_2,None
109,1842066,Eulimnogammarus similis,315662,Eulimnogammaridae,6821,Amphipoda,GEPQ,PRJNA321360,None,GEPQ01061701.1_4,"GEPQ01048281.1_6,GEPQ01048279.1_6",None
110,1842068,Heterogammarus sophianosii,315662,Eulimnogammaridae,6821,Amphipoda,GEPR,PRJNA321360,None,GEPR01053088.1_4,None,None
111,52945,Eulimnogammarus cyaneus,315662,Eulimnogammaridae,6821,Amphipoda,GEPS,PRJNA321360,None,"GEPS01066404.1_6,GEPS01026832.1_2",None,None
112,1156151,Eulimnogammarus marituji,315662,Eulimnogammaridae,6821,Amphipoda,GEPT,PRJNA321360,None,GEPT01043457.1_5,"GEPT01083072.1_6,GEPT01083073.1_6",None
