TSA,tsa_id,tax_id,species,family_id,family_name,order_id,order_name,bioproject,biosample,keywords,raw_tissue,raw_sex,raw_stage,clean_tissue,clean_sex,clean_stage,brain,germline,egg,larvae,pupae,juvenil,adult
GDCF,GDCF00000000.1,247159,Aularches miliaris,58543.0,Pyrgomorphidae,6993,Orthoptera,PRJNA273022,SAMN03339325,"['whole organism', 'adult', 'female']",whole organism,female,adult,whole organism,female,adult,0,0,0,0,0,0,1
GDBO,GDBO00000000.1,529878,Incisitermes marginipennis,46562.0,Kalotermitidae,85823,Blattodea,PRJNA273038,SAMN03339341,"['whole organism', 'adult', 'missing']",whole organism,missing,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDCK,GDCK00000000.1,270842,Antipaluria urichi,178284.0,Clothodidae,50657,Embioptera,PRJNA273020,SAMN03339323,"['whole organism', 'adult', 'missing']",whole organism,missing,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDCJ,GDCJ00000000.1,1603030,Sundablatta sexpunctata,1049651.0,Ectobiidae,85823,Blattodea,PRJNA273058,SAMN03339361,"['whole organism', 'adult', 'missing']",whole organism,missing,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GCPS,GCPS00000000.1,1080993,Lamproblatta albipalpus,1080998.0,Lamproblattidae,85823,Blattodea,PRJNA273039,SAMN03339342,"['whole organism', 'adult', 'missing']",whole organism,missing,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GCPR,GCPR00000000.1,36965,Schultesia lampyridiformis,6979.0,Blaberidae,85823,Blattodea,PRJNA273055,SAMN03339358,"['whole organism', 'adult', 'missing']",whole organism,missing,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GCPO,GCPO00000000.1,444980,Popa spurca,7505.0,Mantidae,7504,Mantodea,PRJNA273050,SAMN03339353,"['whole organism', 'nymph', 'missing']",whole organism,missing,nymph,whole organism,undetermined sex,nymph,0,0,0,0,0,1,0
GDBS,GDBS00000000.1,76901,Ergaula capucina,30007.0,Corydiidae,85823,Blattodea,PRJNA273034,SAMN03339337,"['whole organism', 'adult', 'male']",whole organism,male,adult,whole organism,male,adult,0,0,0,0,0,0,1
GDBT,GDBT00000000.1,1603019,Stagmatoptera biocellata,7505.0,Mantidae,7504,Mantodea,PRJNA273057,SAMN03339360,"['whole organism', 'nymph', 'missing']",whole organism,missing,nymph,whole organism,undetermined sex,nymph,0,0,0,0,0,1,0
GDBP,GDBP00000000.1,552052,Protonemura ausonia,62802.0,Nemouridae,50622,Plecoptera,PRJNA273052,SAMN03339355,"['whole organism', 'nymph', 'missing']",whole organism,missing,nymph,whole organism,undetermined sex,nymph,0,0,0,0,0,1,0
GDCU,GDCU00000000.1,1603005,Hemimerus sp. AD-2014,211563.0,Hemimeridae,27434,Dermaptera,PRJNA273036,SAMN03339339,"['whole organism', 'adult', 'missing']",whole organism,missing,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDCL,GDCL00000000.1,1603012,Brunneria borealis,7505.0,Mantidae,7504,Mantodea,PRJNA273025,SAMN03339328,"['whole organism', 'adult', 'missing']",whole organism,missing,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
GDCI,GDCI00000000.1,6990,Nauphoeta cinerea,6979.0,Blaberidae,85823,Blattodea,PRJNA273041,SAMN03339344,"['whole organism', 'adult', 'missing']",whole organism,missing,adult,whole organism,undetermined sex,adult,0,0,0,0,0,0,1
